Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-30.78,70.99,-42.22,-28.19,-52.02,2.02
-30.21,70.83,-42.21,-28.03,-52.51,2.12
-30.21,70.83,-42.21,-28.03,-52.51,2.12
-30.21,70.83,-42.21,-28.03,-52.51,2.12
-30.21,70.83,-42.21,-28.03,-52.51,2.12
-29.67,70.69,-42.21,-27.90,-52.99,2.21
-29.67,70.69,-42.21,-27.90,-52.99,2.21
-29.67,70.69,-42.21,-27.90,-52.99,2.21
-29.67,70.69,-42.21,-27.90,-52.99,2.21
-29.29,70.59,-42.21,-27.81,-53.34,2.27
-29.29,70.59,-42.21,-27.81,-53.34,2.27
-29.29,70.59,-42.21,-27.81,-53.34,2.27
-29.29,70.59,-42.21,-27.81,-53.34,2.27
-29.02,70.54,-42.21,-27.75,-53.59,2.30
-29.02,70.54,-42.21,-27.75,-53.59,2.30
-29.02,70.54,-42.21,-27.75,-53.59,2.30
-29.02,70.54,-42.21,-27.75,-53.59,2.30
-29.18,70.52,-42.18,-27.73,-53.37,2.32
-29.18,70.52,-42.18,-27.73,-53.37,2.32
-29.18,70.52,-42.18,-27.73,-53.37,2.32
-29.18,70.52,-42.18,-27.73,-53.37,2.32
-29.18,70.52,-42.18,-27.73,-53.37,2.32
-28.81,70.34,-42.14,-27.57,-53.61,2.42
-28.81,70.34,-42.14,-27.57,-53.61,2.42
-28.81,70.34,-42.14,-27.57,-53.61,2.42
-28.32,70.15,-42.12,-27.42,-54.02,2.53
-28.32,70.15,-42.12,-27.42,-54.02,2.53
-28.32,70.15,-42.12,-27.42,-54.02,2.53
-28.32,70.15,-42.12,-27.42,-54.02,2.53
-27.82,69.97,-42.12,-27.30,-54.48,2.61
-27.82,69.97,-42.12,-27.30,-54.48,2.61
-27.82,69.97,-42.12,-27.30,-54.48,2.61
-27.82,69.97,-42.12,-27.30,-54.48,2.61
-27.39,69.84,-42.12,-27.20,-54.88,2.68
-27.39,69.84,-42.12,-27.20,-54.88,2.68
-27.39,69.84,-42.12,-27.20,-54.88,2.68
-27.39,69.84,-42.12,-27.20,-54.88,2.68
-27.39,69.84,-42.12,-27.20,-54.88,2.68
-27.39,69.84,-42.12,-27.20,-54.88,2.68
-27.15,69.76,-42.13,-27.15,-55.12,2.72
-27.15,69.76,-42.13,-27.15,-55.12,2.72
-27.15,69.76,-42.13,-27.15,-55.12,2.72
-26.81,69.67,-42.14,-27.09,-55.45,2.76
-26.81,69.67,-42.14,-27.09,-55.45,2.76
-26.81,69.67,-42.14,-27.09,-55.45,2.76
-26.81,69.67,-42.14,-27.09,-55.45,2.76
-26.31,69.55,-42.16,-27.02,-55.97,2.81
-26.31,69.55,-42.16,-27.02,-55.97,2.81
-26.31,69.55,-42.16,-27.02,-55.97,2.81
-26.31,69.55,-42.16,-27.02,-55.97,2.81
-25.75,69.42,-42.19,-26.95,-56.54,2.87
-25.75,69.42,-42.19,-26.95,-56.54,2.87
-25.75,69.42,-42.19,-26.95,-56.54,2.87
-25.75,69.42,-42.19,-26.95,-56.54,2.87
-25.25,69.31,-42.22,-26.88,-57.05,2.92
-25.25,69.31,-42.22,-26.88,-57.05,2.92
